473600	R_t16_g4_l_c128_s0of4.mno
473600	R_t16_g4_l_c128_s0of8.mno
473600	R_t16_g4_l_c128_s1of4.mno
473600	R_t16_g4_l_c128_s1of8.mno
473600	R_t16_g4_l_c128_s2of4.mno
473600	R_t16_g4_l_c128_s2of8.mno
473600	R_t16_g4_l_c128_s3of4.mno
473600	R_t16_g4_l_c128_s3of8.mno
473600	R_t16_g4_l_c128_s4of8.mno
473600	R_t16_g4_l_c128_s5of8.mno
473600	R_t16_g4_l_c128_s6of8.mno
473600	R_t16_g4_l_c128_s7of8.mno
59200	R_t16_g4_l_c16_s0of1.mno
947200	R_t16_g4_l_c256_s0of2.mno
947200	R_t16_g4_l_c256_s0of4.mno
947200	R_t16_g4_l_c256_s0of8.mno
947200	R_t16_g4_l_c256_s1of2.mno
947200	R_t16_g4_l_c256_s1of4.mno
947200	R_t16_g4_l_c256_s1of8.mno
947200	R_t16_g4_l_c256_s2of4.mno
947200	R_t16_g4_l_c256_s2of8.mno
947200	R_t16_g4_l_c256_s3of4.mno
947200	R_t16_g4_l_c256_s3of8.mno
947200	R_t16_g4_l_c256_s4of8.mno
947200	R_t16_g4_l_c256_s5of8.mno
947200	R_t16_g4_l_c256_s6of8.mno
947200	R_t16_g4_l_c256_s7of8.mno
7400	R_t16_g4_l_c2_s0of1.mno
7400	R_t16_g4_l_c2_s0of2.mno
7400	R_t16_g4_l_c2_s0of4.mno
7400	R_t16_g4_l_c2_s0of8.mno
7400	R_t16_g4_l_c2_s1of2.mno
7400	R_t16_g4_l_c2_s1of4.mno
7400	R_t16_g4_l_c2_s1of8.mno
7400	R_t16_g4_l_c2_s2of4.mno
7400	R_t16_g4_l_c2_s2of8.mno
7400	R_t16_g4_l_c2_s3of4.mno
7400	R_t16_g4_l_c2_s3of8.mno
7400	R_t16_g4_l_c2_s4of8.mno
7400	R_t16_g4_l_c2_s5of8.mno
7400	R_t16_g4_l_c2_s6of8.mno
7400	R_t16_g4_l_c2_s7of8.mno
14800	R_t16_g4_l_c4_s0of1.mno
14800	R_t16_g4_l_c4_s0of2.mno
14800	R_t16_g4_l_c4_s0of4.mno
14800	R_t16_g4_l_c4_s1of2.mno
14800	R_t16_g4_l_c4_s1of4.mno
14800	R_t16_g4_l_c4_s2of4.mno
14800	R_t16_g4_l_c4_s3of4.mno
236800	R_t16_g4_l_c64_s0of8.mno
236800	R_t16_g4_l_c64_s1of8.mno
