scenario_id,field,reason,economic_swing,measurement
CASE-SYN-ESS-CHANGE-MEMO,cash_conversion_fraction,MISSING_INPUT,UNKNOWN,Document what fraction of the signed capacity value would actually change payroll or contractor cash; zero is not an automatic fact.
CASE-SYN-ESS-CHANGE-MEMO,monthly_tasks,RANGE_SENSITIVITY,17754.48000,"Count comparable eligible tasks, including unsuccessful attempts; record period and exclusions."
CASE-SYN-ESS-CHANGE-MEMO,loaded_hourly_rate,RANGE_SENSITIVITY,14512.00000,Obtain an agreed aggregate loaded-labor valuation; document role mix and valuation basis.
CASE-SYN-ESS-CHANGE-MEMO,baseline_minutes,RANGE_SENSITIVITY,4320.00000,"Time the current workflow through accepted output, not first draft, for a comparable task mix."
CASE-SYN-ESS-CHANGE-MEMO,rework_minutes,RANGE_SENSITIVITY,3456.0000,"Measure extra repair or manual fallback time conditional on rework, without double counting author/checking time."
CASE-SYN-ESS-CHANGE-MEMO,checking_minutes,RANGE_SENSITIVITY,2592.00000,"Time verification of every assisted output, including discarded outputs and source checks."
CASE-SYN-ESS-CHANGE-MEMO,maintenance_hours,RANGE_SENSITIVITY,1620.00000,"Record recurring updates, evaluation refresh and knowledge maintenance, excluding support."
CASE-SYN-ESS-CHANGE-MEMO,support_hours,RANGE_SENSITIVITY,1620.00000,"Record recurring operational support and troubleshooting, excluding per-task rework."
CASE-SYN-ESS-CHANGE-MEMO,author_minutes,RANGE_SENSITIVITY,864.00000,"Record prompting, context preparation and editing; exclude checking and rework counted below."
CASE-SYN-ESS-CHANGE-MEMO,integration_hours,RANGE_SENSITIVITY,540.00000,"Estimate and then record integration, rollout, initial evaluation and training effort."
CASE-SYN-ESS-CHANGE-MEMO,setup_cash,RANGE_SENSITIVITY,200.00000,Record incremental setup cash not already represented by integration labor.
CASE-SYN-ESS-CHANGE-MEMO,platform_cash,RANGE_SENSITIVITY,180.00000,Record incremental fixed recurring cash not already included in generation costs.
CASE-SYN-ESS-CHANGE-MEMO,generation_cash_per_attempt,RANGE_SENSITIVITY,20.16000,Use dated metered cost or a documented cost assumption covering each attempt's actual usage.
