tool,lane,classification,emits_contract_status,dead_nonzero_exits,unresolved_exits,raises_uncaught,finding_code,severity,detail
uiowa_rfq_18649_acceptance_map/build_index.py,uiowa_rfq_18649_acceptance_map,GATE,False,0,0,True,NO_CONTRACT_LINE,INFO,"emits no KIT-STATUS line, so a runner must infer meaning from the exit code alone"
uiowa_rfq_18649_acceptance_map/exhibit_parser.py,uiowa_rfq_18649_acceptance_map,REPORT_ONLY,False,0,0,False,NO_SIGNAL_PATH,MEDIUM,cannot return non-zero under any input; indistinguishable from a clean run by anything except a human reading stdout
uiowa_rfq_18649_acceptance_map/exhibit_parser.py,uiowa_rfq_18649_acceptance_map,REPORT_ONLY,False,0,0,False,NO_CONTRACT_LINE,INFO,"emits no KIT-STATUS line, so a runner must infer meaning from the exit code alone"
uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,uiowa_rfq_18649_acceptance_map,REPORT_ONLY,False,0,0,False,NO_SIGNAL_PATH,MEDIUM,cannot return non-zero under any input; indistinguishable from a clean run by anything except a human reading stdout
uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,uiowa_rfq_18649_acceptance_map,REPORT_ONLY,False,0,0,False,NO_CONTRACT_LINE,INFO,"emits no KIT-STATUS line, so a runner must infer meaning from the exit code alone"
uiowa_rfq_18649_adoption_readiness/readiness.py,uiowa_rfq_18649_adoption_readiness,REPORT_ONLY,False,0,0,False,FALSE_CLEAN,HIGH,"prints failure vocabulary (error, reject) but always exits 0, so a runner records a clean result for a run that reported a problem"
uiowa_rfq_18649_adoption_readiness/readiness.py,uiowa_rfq_18649_adoption_readiness,REPORT_ONLY,False,0,0,False,NO_CONTRACT_LINE,INFO,"emits no KIT-STATUS line, so a runner must infer meaning from the exit code alone"
uiowa_rfq_18649_adoption_readiness/test_readiness.py,uiowa_rfq_18649_adoption_readiness,REPORT_ONLY,False,0,0,True,NO_SIGNAL_PATH,MEDIUM,cannot return non-zero under any input; indistinguishable from a clean run by anything except a human reading stdout
uiowa_rfq_18649_adoption_readiness/test_readiness.py,uiowa_rfq_18649_adoption_readiness,REPORT_ONLY,False,0,0,True,CRASH_AS_SIGNAL,LOW,"the only non-zero exit available is an uncaught exception; a crash says the tool broke, not that the subject has findings"
uiowa_rfq_18649_adoption_readiness/test_readiness.py,uiowa_rfq_18649_adoption_readiness,REPORT_ONLY,False,0,0,True,NO_CONTRACT_LINE,INFO,"emits no KIT-STATUS line, so a runner must infer meaning from the exit code alone"
uiowa_rfq_18649_ai_decision_case/ai_decision_case.py,uiowa_rfq_18649_ai_decision_case,GATE,False,0,4,True,NO_CONTRACT_LINE,INFO,"emits no KIT-STATUS line, so a runner must infer meaning from the exit code alone"
uiowa_rfq_18649_ai_decision_case/test_ai_decision_case.py,uiowa_rfq_18649_ai_decision_case,REPORT_ONLY,False,0,0,False,NO_SIGNAL_PATH,MEDIUM,cannot return non-zero under any input; indistinguishable from a clean run by anything except a human reading stdout
