file,background,model,sha256,source_sha256,sku,size,opaque_pixel_fidelity
01-studio-white-neutral.png,studio-white,neutral,f38c92fd9675e39d59592138214303ae27ec002aa1e61e1ee83f5cd49e66fc48,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
02-studio-white-warm.png,studio-white,warm,fe02c2c71180bc676e4e3d3a1546b36303695a26c6f2b852d4a6a0481b16a8d2,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
03-sand-neutral.png,sand,neutral,0eae5a44bb26812ee991d3c44b8536332131453f3da4d54e4e41ae82f161503c,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
04-sand-deep.png,sand,deep,71c7211b41bdd8465263d1d1d0ce93144b5af3eff4374f50901d94843021b3be,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
05-mist-cool.png,mist,cool,5fcc7a1f41714aff4cc0f64a424be16fe1d23b0c91e797cfbb792985f1afe77b,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
06-mist-none.png,mist,none,99a2b50868401ed3009190c7e7c1d91af1168f833b6ea436e2a326126a564358,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
07-sage-warm.png,sage,warm,09208a372a31ff4ab1ec70b27581ba8f4670190fa24b0d32200a9ee72281b0c5,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
08-sage-deep.png,sage,deep,eb61aa82fbc9ba9659a1c76a82adba2165e490bc796dd70b8a3c2274b43b6617,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
09-charcoal-neutral.png,charcoal,neutral,8c2d317c255c2d98ad5298306ed2893d6a0577e8318c7a388631734e33a4f27f,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
10-charcoal-none.png,charcoal,none,a40a08e33aa545bda825662bf41b06b9db07ab080ce18adb792c413467c41ff6,621d42edff9a18ed94a8af33a5c4a2d8aa773944cd18d650c6fe4e8aa1c25264,SYN-TEE-001,M,BYTE_EXACT_RGBA
