seed,opponent,seat,arm,status,own,rival,margin,route226,max_call_seconds,max_rpc_seconds
712068431,arlene,0,frozen,complete,95631.0,95430.0,201.0,7015cc00acfa4922,0.06671544699997867,0.06801172199999428
712068431,arlene,0,quote,complete,86129.0,95152.0,-9023.0,dc76e4003029ac51,0.07228478999996923,0.07322895900000503
712068431,arlene,0,dated_existing,complete,95631.0,95430.0,201.0,7015cc00acfa4922,0.0649168520000103,0.06591772600000922
712068431,arlene,0,dated_two,complete,95631.0,95430.0,201.0,7015cc00acfa4922,0.05786701200003108,0.05885052100001076
712068431,arlene,1,frozen,complete,95631.0,95430.0,201.0,7015cc00acfa4922,0.06476985199998353,0.06569245999997975
712068431,arlene,1,quote,complete,86129.0,95152.0,-9023.0,dc76e4003029ac51,0.0610395330000415,0.0618198679999864
712068431,arlene,1,dated_existing,complete,95631.0,95430.0,201.0,7015cc00acfa4922,0.0715172189999862,0.07242190899995649
712068431,arlene,1,dated_two,complete,95631.0,95430.0,201.0,7015cc00acfa4922,0.06998699999996916,0.0708730719999835
712068431,apex,0,frozen,complete,91644.0,84638.0,7006.0,7015cc00acfa4922,0.06621171400001913,0.06717829199999414
712068431,apex,0,quote,complete,85985.0,85661.0,324.0,dc76e4003029ac51,0.06461681400003272,0.0656795000000443
712068431,apex,0,dated_existing,complete,91644.0,84638.0,7006.0,7015cc00acfa4922,0.08078967199998033,0.08154489000003196
712068431,apex,0,dated_two,complete,91644.0,84638.0,7006.0,7015cc00acfa4922,0.07678029900000638,0.07817105399999491
712068431,apex,1,frozen,complete,91644.0,84638.0,7006.0,7015cc00acfa4922,0.08256003300004977,0.08423822899999323
712068431,apex,1,quote,complete,85985.0,85661.0,324.0,dc76e4003029ac51,0.06326184199997442,0.06438232400000743
712068431,apex,1,dated_existing,complete,91644.0,84638.0,7006.0,7015cc00acfa4922,0.0895238690000042,0.09118543899995757
712068431,apex,1,dated_two,complete,91644.0,84638.0,7006.0,7015cc00acfa4922,0.0584341559999757,0.05933874600003719
712068449,arlene,0,frozen,complete,73344.0,71874.0,1470.0,7015cc00acfa4922,0.07633278999998083,0.07727434599996741
712068449,arlene,0,quote,complete,65549.0,67908.0,-2359.0,dc76e4003029ac51,0.061742243999958646,0.06261656899999934
712068449,arlene,0,dated_existing,complete,73344.0,71874.0,1470.0,7015cc00acfa4922,0.06129636800000071,0.062164184999971894
712068449,arlene,0,dated_two,complete,73344.0,71874.0,1470.0,7015cc00acfa4922,0.06580087399999002,0.06696376899998313
712068449,arlene,1,frozen,complete,73344.0,71874.0,1470.0,7015cc00acfa4922,0.07057793500001708,0.07155183200001147
712068449,arlene,1,quote,complete,65549.0,67908.0,-2359.0,dc76e4003029ac51,0.07820501899999499,0.07922235699999192
712068449,arlene,1,dated_existing,complete,73344.0,71874.0,1470.0,7015cc00acfa4922,0.07615470900003629,0.07721805599999243
712068449,arlene,1,dated_two,complete,73344.0,71874.0,1470.0,7015cc00acfa4922,0.059766558000035275,0.06080286399998158
712068449,apex,0,frozen,complete,69967.0,61969.0,7998.0,7015cc00acfa4922,0.05151415999995379,0.052377317999969364
712068449,apex,0,quote,complete,64000.0,60105.0,3895.0,dc76e4003029ac51,0.06242185100001052,0.06393083400001842
712068449,apex,0,dated_existing,complete,69967.0,61969.0,7998.0,7015cc00acfa4922,0.06331751899995197,0.06419277499998088
712068449,apex,0,dated_two,complete,69967.0,61969.0,7998.0,7015cc00acfa4922,0.056718566999961695,0.057663916999956655
712068449,apex,1,frozen,complete,69967.0,61969.0,7998.0,7015cc00acfa4922,0.05189619100002574,0.0529819630000361
712068449,apex,1,quote,complete,64000.0,60105.0,3895.0,dc76e4003029ac51,0.058815726000034374,0.05986063599999625
712068449,apex,1,dated_existing,complete,69967.0,61969.0,7998.0,7015cc00acfa4922,0.06753526200003535,0.06847938000004206
712068449,apex,1,dated_two,complete,69967.0,61969.0,7998.0,7015cc00acfa4922,0.060750937000022986,0.061659632000043985
